ID,Item Title,Final URL,Image URL,Price,Sale Price
53014,Sauvasekoitin Mini MP 240 V.V,https://kauppa.dieta.fi/catalog/product/view/id/53014/,https://kauppa.dieta.fi/media/import/44018.jpg,581.00 EUR,421.00 EUR
54133,Sauvasekoitin MP 450 Combi Ultra,https://kauppa.dieta.fi/catalog/product/view/id/54133/,https://kauppa.dieta.fi/media/import/53425.jpg,1300.00 EUR,927.00 EUR
54198,Sauvasekoitin Mini MP 190 V.V,https://kauppa.dieta.fi/catalog/product/view/id/54198/,https://kauppa.dieta.fi/media/import/44017.jpg,482.00 EUR,352.00 EUR
55274,Leivänpaahdin 4 S,https://kauppa.dieta.fi/catalog/product/view/id/55274/,https://kauppa.dieta.fi/media/import/2170.jpg,283.00 EUR,
55274,Leivänpaahdin 4 S,https://kauppa.dieta.fi/catalog/product/view/id/55274/,https://kauppa.dieta.fi/media/import/2170.jpg,283.00 EUR,
56103,Hiiligrilli Mibrasa MH150 Hibachi,https://kauppa.dieta.fi/catalog/product/view/id/56103/,https://kauppa.dieta.fi/media/import/57332.jpg,274.00 EUR,179.00 EUR
58494,Vihannesleikkuri/kutteri Robot R 301,https://kauppa.dieta.fi/catalog/product/view/id/58494/,https://kauppa.dieta.fi/media/import/4200.jpg,1940.00 EUR,
58494,Vihannesleikkuri/kutteri Robot R 301,https://kauppa.dieta.fi/catalog/product/view/id/58494/,https://kauppa.dieta.fi/media/import/4200.jpg,1940.00 EUR,
49566,Jääpalakone NG 30,https://kauppa.dieta.fi/catalog/product/view/id/49566/,https://kauppa.dieta.fi/media/import/3969.jpg,1500.00 EUR,988.00 EUR
49560,Leivänpaahdin 2 S,https://kauppa.dieta.fi/catalog/product/view/id/49560/,https://kauppa.dieta.fi/media/import/6369.jpg,215.00 EUR,152.00 EUR
66965,Sous-Vide Sirkulaattori SV ST15L,https://kauppa.dieta.fi/catalog/product/view/id/66965/,https://kauppa.dieta.fi/media/import/64145.jpg,197.00 EUR,143.00 EUR
67013,Lasipannukahvinkeitin Contessa 1000,https://kauppa.dieta.fi/catalog/product/view/id/67013/,https://kauppa.dieta.fi/media/import/64175.jpg,315.00 EUR,229.00 EUR
67210,"Yleiskone 1,2kg/7L AS",https://kauppa.dieta.fi/catalog/product/view/id/67210/,https://kauppa.dieta.fi/media/import/64200.jpg,1260.00 EUR,911.00 EUR
67160,Rasvakeitin SNACK II,https://kauppa.dieta.fi/catalog/product/view/id/67160/,https://kauppa.dieta.fi/media/import/64252.jpg,382.00 EUR,278.00 EUR
