ID,Item Title,Final URL,Image URL,Price,Sale Price
53014,Sauvasekoitin Mini MP 240 V.V,https://kauppa.dieta.fi/catalog/product/view/id/53014/,https://kauppa.dieta.fi/media/import/44018.jpg,581 EUR,421 EUR
54133,Sauvasekoitin MP 450 Combi Ultra,https://kauppa.dieta.fi/catalog/product/view/id/54133/,https://kauppa.dieta.fi/media/import/53425.jpg,1 300 EUR,927 EUR
54198,Sauvasekoitin Mini MP 190 V.V,https://kauppa.dieta.fi/catalog/product/view/id/54198/,https://kauppa.dieta.fi/media/import/44017.jpg,482 EUR,352 EUR
55274,Leivänpaahdin 4 S,https://kauppa.dieta.fi/catalog/product/view/id/55274/,https://kauppa.dieta.fi/media/import/2170.jpg,283 EUR,
55274,Leivänpaahdin 4 S,https://kauppa.dieta.fi/catalog/product/view/id/55274/,https://kauppa.dieta.fi/media/import/2170.jpg,283 EUR,
56103,Hiiligrilli Mibrasa MH150 Hibachi,https://kauppa.dieta.fi/catalog/product/view/id/56103/,https://kauppa.dieta.fi/media/import/57332.jpg,274 EUR,179 EUR
58494,Vihannesleikkuri/kutteri Robot R 301,https://kauppa.dieta.fi/catalog/product/view/id/58494/,https://kauppa.dieta.fi/media/import/4200.jpg,1 940 EUR,
58494,Vihannesleikkuri/kutteri Robot R 301,https://kauppa.dieta.fi/catalog/product/view/id/58494/,https://kauppa.dieta.fi/media/import/4200.jpg,1 940 EUR,
49566,Jääpalakone NG 30,https://kauppa.dieta.fi/catalog/product/view/id/49566/,https://kauppa.dieta.fi/media/import/3969.jpg,1 500 EUR,988 EUR
49560,Leivänpaahdin 2 S,https://kauppa.dieta.fi/catalog/product/view/id/49560/,https://kauppa.dieta.fi/media/import/6369.jpg,215 EUR,152 EUR
66965,Sous-Vide Sirkulaattori SV ST15L,https://kauppa.dieta.fi/catalog/product/view/id/66965/,https://kauppa.dieta.fi/media/import/64145.jpg,197 EUR,143 EUR
67013,Lasipannukahvinkeitin Contessa 1000,https://kauppa.dieta.fi/catalog/product/view/id/67013/,https://kauppa.dieta.fi/media/import/64175.jpg,315 EUR,229 EUR
67210,"Yleiskone 1,2kg/7L AS",https://kauppa.dieta.fi/catalog/product/view/id/67210/,https://kauppa.dieta.fi/media/import/64200.jpg,1 260 EUR,911 EUR
67160,Rasvakeitin SNACK II,https://kauppa.dieta.fi/catalog/product/view/id/67160/,https://kauppa.dieta.fi/media/import/64252.jpg,382 EUR,278 EUR
